x,n_terms,best_rank_median,best_rank_min,rep_terms
small,31,70219.0,2346,small gift bags | small gifts for women | small gifts
beach,31,115484.0,14939,sand remover for beach | boogie boards for beach | tent for beach
chocolate,31,80506.0,5645,chocolate gift box | godiva chocolate gift box | hot chocolate gift sets
sewing,31,119915.0,15395,elastic for sewing | thread for sewing | zippers for sewing
clothing,31,131266.0,632,vacuum seal bags for clothing | body adhesive for clothing | fabric shaver for clothing
wood,31,133025.0,18751,restore a finish for wood | carpenter bee repellent for wood | staple gun for wood
gift wrapping,30,85978.5,3889,ribbon for gift wrapping | bows for gift wrapping | christmas bows for gift wrapping
kitchen sink,30,102909.0,3010,sponge holder for kitchen sink | sink protectors for kitchen sink | soap dispenser for kitchen sink
kitchen counter,30,67021.5,4765,stone drying mat for kitchen counter | dish racks for kitchen counter | utensil holder for kitchen counter
holiday,30,85379.5,2582,holiday gift | holiday gift bags | holiday gift baskets
moving,30,88683.0,4023,mattress bags for moving | packing boxes for moving | bubble wrap for moving
teeth,29,92702.0,2318,water flossers for teeth | miswak sticks for teeth | plaque remover for teeth
man,29,95934.0,3965,t shirts for man | man gifts | masturebstor for man
sister,29,57679.0,2135,sister gifts | gifts for sister | mothers day gifts for sister
medium dogs,29,68162.0,4954,dog collars for medium dogs | dog costumes for medium dogs | dog crates for medium dogs
laundry,29,95941.0,37,pet hair remover for laundry | borax powder for laundry | color catchers for laundry
swimming,29,93101.0,6969,ear plugs for swimming | mermaid tail for swimming | dog life vest for swimming
cold weather,28,99050.0,3698,mens gloves for cold weather | face mask for cold weather | womens gloves for cold weather
adult,28,136167.0,2203,lego sets for adult | human dog bed for adult | foldable human dog bed for adult
son,28,131698.5,20273,fathers day gifts for son | gifts for son | valentines day gifts for son
mantle,27,86720.0,919,stocking holders for mantle | garland for mantle | garland hangers for mantle
summer,27,97644.0,4006,womens rompers for summer | womens capris for summer | schools out for summer
dollar,27,79279.0,31421,10 dollar gifts | 5 dollar gifts | best 50 dollar gifts for adults
countertop,27,80211.0,8895,food warming mat for countertop | food warming mats for countertop | butter dish with lid for countertop
photography,27,97156.0,2855,cameras for photography | christmas backdrops for photography | easter backdrops for photography
indoor windows,26,100338.5,1525,blinds for indoor windows | roman shades for indoor windows | shades for indoor windows
phone,26,134162.0,21714,ring light for phone | portable selfie light for phone | tripod for phone
presents,26,87433.5,3337,gift boxes for presents | gift boxes with lids for presents | shirt boxes for presents
e,26,110459.0,3997,e gift card amazon | amazon e gift card | e gift card
old,26,151185.0,47022,1 year old gifts | 2 year old gifts | boys 10 year old gift ideas
walls,26,98404.0,5199,sound proof foam panels for walls | cork boards for walls | sound proof panels for walls
outdoor grill,26,106610.5,2497,grill cover for outdoor grill | grill brush for outdoor grill | grill mats for outdoor grill
furniture,25,99755.0,20551,leather repair kit for furniture | steam cleaner for furniture | chalk paint for furniture
money,25,92081.0,7472,money gift box | exploding money gift box | surprise gift box explosion for money
week,25,125737.0,1706,nurses week gifts | nurses week gifts bulk 2025 | cna week gifts bulk 2025
parties,25,92789.0,6917,tents for parties | drink dispensers for parties | ice buckets for parties
toddler boys,25,113502.0,28285,halloween costumes for toddler boys | socks for toddler boys | stocking stuffers for toddler boys
car windshield,25,90764.0,1574,ice scrapers for car windshield | sun shade for car windshield | sunshade for car windshield
garage,25,92839.0,31127,fishing pole holders for garage | space heater for garage | fishing rod holders for garage
vehicles,25,110038.0,1027,gps tracker for vehicles | deer whistles for vehicles | power inverters for vehicles
you,25,96240.0,13180,thank you gifts | thank you gifts for women | nathan for you
