term,spike_month,spike_rank,median_rank,improve_ratio,is_category
cross necklace for women silver,2025-09,20068,59059.0,0.66,True
men's bracelets,2025-12,20146,93642.0,0.785,True
anklets,2025-06,20213,40615.0,0.502,True
rose in chains,2025-09,20277,43672.0,0.536,True
permanent bracelet kit,2025-01,20358,85391.5,0.762,True
beaded necklace,2025-08,20449,42722.0,0.521,True
bow earrings for women,2025-12,20460,85701.0,0.761,True
crochet ring,2025-02,20486,51141.0,0.599,True
chapstick holder key chain,2025-12,20508,43013.5,0.523,True
mirror jewelry cabinet standing,2025-01,20572,78885.0,0.739,True
bracelet maker,2025-10,20598,52873.5,0.61,True
elden ring ps5,2025-11,20703,51171.0,0.595,True
anklets for women waterproof,2025-05,20815,53717.5,0.613,True
birthstone necklace for women,2025-05,20861,43980.5,0.526,True
shoe charms for sneakers,2025-07,20961,64543.5,0.675,True
fahlo animal tracking bracelet,2025-11,20976,52433.0,0.6,True
seashell necklace,2025-06,20994,47063.0,0.554,True
jewelry cleaner solution,2025-10,21115,49103.5,0.57,True
wine glass charms,2025-12,21159,75483.5,0.72,True
diamond necklaces for women,2025-02,21214,42661.5,0.503,True
elden ring nightreign,2025-05,21617,120393.5,0.82,True
jewelry cleaner solution,2025-12,21672,49103.5,0.559,True
kids jewelry,2025-12,21697,103733.5,0.791,True
chewy necklace sensory,2025-09,21822,45542.5,0.521,True
anklets for women waterproof,2025-07,21850,53717.5,0.593,True
women's necklaces,2025-11,22021,78052.5,0.718,True
football earrings,2025-08,22126,88423.0,0.75,True
sterling silver jewelry,2025-12,22489,83876.5,0.732,True
gothic jewelry,2025-10,22651,50089.5,0.548,True
napkin rings set of 12,2025-11,22686,137685.5,0.835,True
candy necklace,2025-10,22775,137411.0,0.834,True
jewelry cleaner solution,2025-11,22907,49103.5,0.533,True
mother daughter bracelets,2025-12,22969,76675.0,0.7,True
backpack charms,2025-08,23282,133493.0,0.826,True
sunchill float ring,2025-05,23282,63902.0,0.636,True
locket necklace,2025-11,23307,82573.0,0.718,True
black choker,2025-09,23471,63015.0,0.628,True
women's necklaces,2025-09,23516,78052.5,0.699,True
women's necklaces,2025-10,23540,78052.5,0.698,True
precision rings xbox,2025-04,23700,47545.0,0.502,True
mama necklace,2025-05,23903,61704.5,0.613,True
kindle charms,2025-12,24021,53031.5,0.547,True
beaded necklaces for women,2025-06,24142,84534.0,0.714,True
fantasy football ring,2025-12,24216,61835.0,0.608,True
pavoi tennis bracelet,2025-12,24412,71662.0,0.659,True
cross necklace for girls,2025-04,24511,74719.0,0.672,True
kate spade jewelry,2025-12,24622,65348.0,0.623,True
men's necklaces,2025-12,24648,74992.5,0.671,True
kendra scott cross necklace,2025-12,24793,111483.0,0.778,True
silver anklets for women,2025-06,24861,58302.0,0.574,True
kids jewelry box,2025-12,24898,90145.5,0.724,True
charm city kings (2021),2025-04,24976,58647.0,0.574,True
