term,best_rank,months_present,trend_ratio,first_month,last_month,is_category,reasons
jewelry cleaner ultrasonic machine,10158.0,12,0.6564595257563369,2025-01,2025-12,True,品类季节spike
christmas light necklace,10312.0,3,,2025-10,2025-12,True,品类新入榜
gold anklets for women,10347.0,12,1.5876403815964255,2025-01,2025-12,True,品类季节spike
engagement ring,10449.0,12,0.38975536129803157,2025-01,2025-12,True,Phase5命中×品类；Phase5命中×趋势向好
jewelry set,10548.0,12,0.23722999291784702,2025-01,2025-12,True,品类季节spike
matching bracelets for couples,10654.0,12,1.5666430761972163,2025-01,2025-12,True,品类季节spike
urns for human ashes,10751.0,12,0.13304084134460287,2025-01,2025-12,False,Phase5命中×趋势向好；裸场景词×优质词族
bracelet maker,10769.0,12,0.08007440706867153,2025-01,2025-12,True,品类季节spike
christmas napkin rings,10864.0,3,,2025-10,2025-12,True,品类新入榜
evil eye bracelets,10872.0,12,1.2014332340002838,2025-01,2025-12,True,Phase5命中×品类
pandora rings,10962.0,12,1.3939438161255016,2025-01,2025-12,True,品类季节spike
snow chains,10995.0,7,1.1398325473967856,2025-01,2025-12,True,品类季节spike
gold hair cuffs,11019.0,11,0.3046469598826182,2025-01,2025-11,True,品类季节spike
essence nose ring diffuser,11024.0,7,1.0814721438162835,2025-04,2025-12,True,品类季节spike
gold chain belt,11158.0,12,1.0157774432736801,2025-01,2025-12,True,品类季节spike
graduation party favors,11405.0,6,0.3671872147230303,2025-02,2025-07,False,Phase5命中×趋势向好
birthstone necklace for women,11476.0,12,0.6377438773783333,2025-01,2025-12,True,品类季节spike
graduation backdrop,11749.0,6,0.3609313525251005,2025-02,2025-07,False,Phase5命中×趋势向好
anxiety ring,11764.0,12,0.7014589582765203,2025-01,2025-12,True,Phase5命中×品类
diamond earrings for women,11780.0,12,0.7841508228151461,2025-01,2025-12,True,品类季节spike
heart earrings for women,11813.0,12,11.162661865521779,2025-01,2025-12,True,品类季节spike
breast cancer awareness,11833.0,3,,2025-08,2025-10,False,裸场景词×优质词族
silver arm cuff,11866.0,9,0.44225891901031394,2025-02,2025-10,True,品类季节spike
necklace extender,12103.0,12,0.3578312056032984,2025-01,2025-12,True,品类季节spike
calmi ring,12424.0,12,0.7885033894489332,2025-01,2025-12,True,品类季节spike
graduation party decorations,12555.0,7,0.2705112389252928,2025-01,2025-07,False,Phase5命中×趋势向好
heart necklace,12599.0,12,1.3944025834230356,2025-01,2025-12,True,品类季节spike
hole puncher 3 ring,12609.0,12,1.3534997798880573,2025-01,2025-12,True,品类季节spike
purity coffee,12732.0,12,0.9597603854668577,2025-01,2025-12,False,裸场景词×优质词族
bow earrings,12788.0,12,1.2079596741105445,2025-01,2025-12,True,品类季节spike
hypoallergenic earrings,12846.0,12,0.37105402262395604,2025-01,2025-12,True,品类季节spike
charm city kings (2021),12902.0,12,5.615760745963157,2025-01,2025-12,True,品类季节spike
